13,0.000,0.0000,0.0000,1.0000,1.0000,0.42,0.42
13,0.096,0.0010,0.0063,1.0000,0.9925,0.36,0.37
13,0.192,0.0006,0.0065,1.0000,0.9919,0.43,0.38
13,0.288,0.0003,0.0067,1.0000,0.9911,0.34,0.38
13,0.384,0.0168,0.0065,0.9896,0.9916,0.33,0.38
13,0.480,0.0028,0.0062,1.0000,0.9915,0.35,0.38
13,0.576,0.0173,0.0067,0.9688,0.9903,0.40,0.37
13,0.672,0.0325,0.0064,0.9479,0.9908,0.37,0.37
13,0.768,0.0000,0.0063,1.0000,0.9912,0.37,0.37
13,0.864,0.0062,0.0065,1.0000,0.9909,0.36,0.37
13,0.960,0.0000,0.0067,1.0000,0.9907,0.36,0.37
14,0.000,0.0291,0.0291,0.9479,0.9479,0.34,0.34
14,0.096,0.0000,0.0068,1.0000,0.9901,0.36,0.36
14,0.192,0.0029,0.0057,1.0000,0.9926,0.35,0.36
14,0.288,0.0178,0.0063,0.9583,0.9912,0.33,0.36
14,0.384,0.0003,0.0066,1.0000,0.9916,0.34,0.36
14,0.480,0.0000,0.0062,1.0000,0.9921,0.37,0.36
14,0.576,0.0007,0.0062,1.0000,0.9919,0.34,0.36
14,0.672,0.0000,0.0057,1.0000,0.9927,0.35,0.35
14,0.768,0.0125,0.0058,1.0000,0.9926,0.37,0.35
14,0.864,0.0071,0.0059,0.9896,0.9923,0.35,0.35
14,0.960,0.0000,0.0060,1.0000,0.9922,0.35,0.35
15,0.000,0.0000,0.0000,1.0000,1.0000,0.35,0.35
15,0.096,0.0182,0.0055,0.9792,0.9916,0.36,0.36
15,0.192,0.0000,0.0044,1.0000,0.9935,0.33,0.35
15,0.288,0.0261,0.0056,0.9479,0.9926,0.32,0.35
15,0.384,0.0000,0.0058,1.0000,0.9924,0.37,0.35
15,0.480,0.0220,0.0059,0.9688,0.9918,0.31,0.35
15,0.576,0.0009,0.0057,1.0000,0.9919,0.35,0.35
15,0.672,0.0002,0.0057,1.0000,0.9920,0.36,0.35
15,0.768,0.0008,0.0055,1.0000,0.9922,0.32,0.35
15,0.864,0.0613,0.0056,0.8646,0.9921,0.33,0.34
15,0.960,0.0351,0.0057,0.9375,0.9921,0.32,0.34
